sec, nsec, Tc(0 0), Tt(0 0), Tc(1 0), Tt(1 0), Tc(2 0), Tt(2 0), Tc(0 1), Tt(0 1), Tc(1 1), Tt(1 1), Tc(2 1), Tt(2 1), Tc(0 2), Tt(0 2), Tc(1 2), Tt(1 2), Tc(2 2), Tt(2 2), Tc(0 3), Tt(0 3), Tc(1 3), Tt(1 3), Tc(2 3), Tt(2 3), q1, q1d, q2, q2d, q3, q3d, q4, q4d, q5, q5d, q6, q6d, q7, q7d,
1650970895, 550735074,0.7108, 0.7108,0.7034, 0.7034,-0.0011, -0.0011,0.7033, 0.7033,-0.7106, -0.7106,0.0211, 0.0211,0.0140, 0.0140,-0.0158, -0.0158,-0.9998, -0.9998,-301.1614, -301.1614,61.3448, 61.3448,-114.1805, -114.1805,-0.6892, -0.6705,-1.3561, -1.3639,91.3295, 91.3164,-0.0507, -0.0017,-0.0125, 0.1059,0.0341, 0.0052,0.0688, 0.0065,
1650970895, 552399225,0.7108, 0.7108,0.7034, 0.7034,-0.0011, -0.0011,0.7033, 0.7033,-0.7106, -0.7106,0.0211, 0.0211,0.0140, 0.0140,-0.0158, -0.0158,-0.9998, -0.9998,-301.1614, -301.1614,61.3448, 61.3448,-114.1805, -114.1805,-0.6892, -0.6705,-1.3561, -1.3639,91.3295, 91.3164,-0.0507, -0.0017,-0.0125, 0.1059,0.0341, 0.0052,0.0688, 0.0065,
1650970895, 554078477,0.7108, 0.7108,0.7034, 0.7034,-0.0011, -0.0011,0.7033, 0.7033,-0.7106, -0.7106,0.0211, 0.0211,0.0140, 0.0140,-0.0158, -0.0158,-0.9998, -0.9998,-301.1614, -301.1614,61.3448, 61.3448,-114.1805, -114.1805,-0.6892, -0.6705,-1.3561, -1.3639,91.3295, 91.3164,-0.0507, -0.0017,-0.0125, 0.1059,0.0341, 0.0052,0.0688, 0.0065,
1650970895, 555911278,0.7108, 0.7108,0.7034, 0.7034,-0.0011, -0.0011,0.7033, 0.7033,-0.7106, -0.7106,0.0211, 0.0211,0.0140, 0.0140,-0.0158, -0.0158,-0.9998, -0.9998,-301.1614, -301.1614,61.3448, 61.3448,-114.1805, -114.1805,-0.6892, -0.6705,-1.3561, -1.3639,91.3295, 91.3164,-0.0507, -0.0017,-0.0125, 0.1059,0.0341, 0.0052,0.0688, 0.0065,
1650970895, 557593528,0.7108, 0.7108,0.7034, 0.7034,-0.0011, -0.0011,0.7033, 0.7033,-0.7106, -0.7106,0.0211, 0.0211,0.0140, 0.0140,-0.0158, -0.0158,-0.9998, -0.9998,-301.1614, -301.1614,61.3448, 61.3448,-114.1805, -114.1805,-0.6892, -0.6705,-1.3561, -1.3639,91.3295, 91.3164,-0.0507, -0.0017,-0.0125, 0.1059,0.0341, 0.0052,0.0688, 0.0065,
1650970895, 559325260,0.7108, 0.7108,0.7034, 0.7034,-0.0011, -0.0011,0.7033, 0.7033,-0.7106, -0.7106,0.0211, 0.0211,0.0140, 0.0140,-0.0158, -0.0158,-0.9998, -0.9998,-301.1614, -301.1614,61.3448, 61.3448,-114.1805, -114.1805,-0.6892, -0.6705,-1.3561, -1.3639,91.3295, 91.3164,-0.0507, -0.0017,-0.0125, 0.1059,0.0341, 0.0052,0.0688, 0.0065,
1650970895, 560998769,0.7108, 0.7108,0.7034, 0.7034,-0.0011, -0.0011,0.7033, 0.7033,-0.7106, -0.7106,0.0211, 0.0211,0.0140, 0.0140,-0.0158, -0.0158,-0.9998, -0.9998,-301.1614, -301.1614,61.3448, 61.3448,-114.1805, -114.1805,-0.6892, -0.6705,-1.3561, -1.3639,91.3295, 91.3164,-0.0507, -0.0017,-0.0125, 0.1059,0.0341, 0.0052,0.0688, 0.0065,
1650970895, 562743654,0.7108, 0.7108,0.7034, 0.7034,-0.0011, -0.0011,0.7033, 0.7033,-0.7106, -0.7106,0.0211, 0.0211,0.0140, 0.0140,-0.0158, -0.0158,-0.9998, -0.9998,-301.1614, -301.1614,61.3448, 61.3448,-114.1805, -114.1805,-0.6892, -0.6705,-1.3561, -1.3639,91.3295, 91.3164,-0.0507, -0.0017,-0.0125, 0.1059,0.0341, 0.0052,0.0688, 0.0065,
1650970895, 564367487,0.7108, 0.7108,0.7034, 0.7034,-0.0011, -0.0011,0.7033, 0.7033,-0.7106, -0.7106,0.0211, 0.0211,0.0140, 0.0140,-0.0158, -0.0158,-0.9998, -0.9998,-301.1614, -301.1614,61.3448, 61.3448,-114.1805, -114.1805,-0.6892, -0.6705,-1.3561, -1.3639,91.3295, 91.3164,-0.0507, -0.0017,-0.0125, 0.1059,0.0341, 0.0052,0.0688, 0.0065,
1650970895, 566011928,0.7108, 0.7108,0.7034, 0.7034,-0.0011, -0.0011,0.7033, 0.7033,-0.7106, -0.7106,0.0211, 0.0211,0.0140, 0.0140,-0.0158, -0.0158,-0.9998, -0.9998,-301.1614, -301.1614,61.3448, 61.3448,-114.1805, -114.1805,-0.6892, -0.6705,-1.3561, -1.3639,91.3295, 91.3164,-0.0507, -0.0017,-0.0125, 0.1059,0.0341, 0.0052,0.0688, 0.0065,
